example_id                                            | status  | run_time        |
----------------------------------------------------- | ------- | --------------- |
./spec/helpers/foods_helper_spec.rb[1:1]              | pending | 0.00001 seconds |
./spec/helpers/recipe_foods_helper_spec.rb[1:1]       | pending | 0.00003 seconds |
./spec/helpers/recipes_helper_spec.rb[1:1]            | pending | 0.00002 seconds |
./spec/helpers/users_helper_spec.rb[1:1]              | pending | 0.00001 seconds |
./spec/models/food_spec.rb[1:1:1]                     | passed  | 0.03129 seconds |
./spec/models/recipe_food_spec.rb[1:1:1]              | passed  | 0.00256 seconds |
./spec/models/recipe_spec.rb[1:1:1]                   | passed  | 0.00325 seconds |
./spec/models/user_spec.rb[1:1:1]                     | passed  | 0.01865 seconds |
./spec/requests/foods_spec.rb[1:1:1]                  | pending | 0.0029 seconds  |
./spec/requests/foods_spec.rb[1:2:1]                  | pending | 0.00269 seconds |
./spec/requests/foods_spec.rb[1:3:1]                  | passed  | 0.02548 seconds |
./spec/requests/foods_spec.rb[1:4:1]                  | pending | 0.00275 seconds |
./spec/requests/foods_spec.rb[1:5:1:1]                | pending | 0.00471 seconds |
./spec/requests/foods_spec.rb[1:5:1:2]                | pending | 0.0029 seconds  |
./spec/requests/foods_spec.rb[1:5:2:1]                | pending | 0.01226 seconds |
./spec/requests/foods_spec.rb[1:5:2:2]                | pending | 0.00286 seconds |
./spec/requests/foods_spec.rb[1:6:1:1]                | pending | 0.00233 seconds |
./spec/requests/foods_spec.rb[1:6:1:2]                | pending | 0.00207 seconds |
./spec/requests/foods_spec.rb[1:6:2:1]                | pending | 0.00453 seconds |
./spec/requests/foods_spec.rb[1:7:1]                  | pending | 0.00203 seconds |
./spec/requests/foods_spec.rb[1:7:2]                  | pending | 0.00239 seconds |
./spec/requests/recipe_foods_spec.rb[1:1:1]           | pending | 0.0023 seconds  |
./spec/requests/recipe_foods_spec.rb[1:2:1]           | pending | 0.00363 seconds |
./spec/requests/recipe_foods_spec.rb[1:3:1]           | failed  | 1.54 seconds    |
./spec/requests/recipe_foods_spec.rb[1:4:1]           | pending | 0.00438 seconds |
./spec/requests/recipe_foods_spec.rb[1:5:1:1]         | pending | 0.00498 seconds |
./spec/requests/recipe_foods_spec.rb[1:5:1:2]         | pending | 0.00291 seconds |
./spec/requests/recipe_foods_spec.rb[1:5:2:1]         | pending | 0.03174 seconds |
./spec/requests/recipe_foods_spec.rb[1:5:2:2]         | pending | 0.00245 seconds |
./spec/requests/recipe_foods_spec.rb[1:6:1:1]         | pending | 0.00214 seconds |
./spec/requests/recipe_foods_spec.rb[1:6:1:2]         | pending | 0.00219 seconds |
./spec/requests/recipe_foods_spec.rb[1:6:2:1]         | pending | 0.00651 seconds |
./spec/requests/recipe_foods_spec.rb[1:7:1]           | pending | 0.00245 seconds |
./spec/requests/recipe_foods_spec.rb[1:7:2]           | pending | 0.00219 seconds |
./spec/requests/recipes_spec.rb[1:1:1]                | pending | 0.00387 seconds |
./spec/requests/recipes_spec.rb[1:2:1]                | pending | 0.00305 seconds |
./spec/requests/recipes_spec.rb[1:3:1]                | passed  | 0.25763 seconds |
./spec/requests/recipes_spec.rb[1:4:1]                | pending | 0.00285 seconds |
./spec/requests/recipes_spec.rb[1:5:1:1]              | pending | 0.00634 seconds |
./spec/requests/recipes_spec.rb[1:5:1:2]              | pending | 0.0029 seconds  |
./spec/requests/recipes_spec.rb[1:5:2:1]              | pending | 0.00971 seconds |
./spec/requests/recipes_spec.rb[1:5:2:2]              | pending | 0.00272 seconds |
./spec/requests/recipes_spec.rb[1:6:1:1]              | pending | 0.00214 seconds |
./spec/requests/recipes_spec.rb[1:6:1:2]              | pending | 0.00259 seconds |
./spec/requests/recipes_spec.rb[1:6:2:1]              | pending | 0.00325 seconds |
./spec/requests/recipes_spec.rb[1:7:1]                | pending | 0.00461 seconds |
./spec/requests/recipes_spec.rb[1:7:2]                | pending | 0.00316 seconds |
./spec/requests/users_spec.rb[1:1:1]                  | pending | 0.00701 seconds |
./spec/requests/users_spec.rb[1:2:1]                  | pending | 0.00955 seconds |
./spec/requests/users_spec.rb[1:3:1]                  | passed  | 0.06281 seconds |
./spec/requests/users_spec.rb[1:4:1]                  | pending | 0.00267 seconds |
./spec/requests/users_spec.rb[1:5:1:1]                | pending | 0.01025 seconds |
./spec/requests/users_spec.rb[1:5:1:2]                | pending | 0.00691 seconds |
./spec/requests/users_spec.rb[1:5:2:1]                | pending | 0.01666 seconds |
./spec/requests/users_spec.rb[1:5:2:2]                | pending | 0.00785 seconds |
./spec/requests/users_spec.rb[1:6:1:1]                | pending | 0.0028 seconds  |
./spec/requests/users_spec.rb[1:6:1:2]                | pending | 0.00532 seconds |
./spec/requests/users_spec.rb[1:6:2:1]                | pending | 0.00386 seconds |
./spec/requests/users_spec.rb[1:7:1]                  | pending | 0.01435 seconds |
./spec/requests/users_spec.rb[1:7:2]                  | pending | 0.01768 seconds |
./spec/routing/foods_routing_spec.rb[1:1:1]           | passed  | 0.00265 seconds |
./spec/routing/foods_routing_spec.rb[1:1:2]           | passed  | 0.00293 seconds |
